Tissue: Bone (Cortical)
Frequency Hz	Permittivity	Elec. Cond. (S/m)
1000000000	12.363321420905962	0.15566008448871382
1090000000	12.287397038401885	0.1673084970179416
1180000000	12.215384057363597	0.17945120617499863
1270000000	12.146492140199953	0.19207225727400978
1360000000	12.08013719534584	0.20515521627074038
1450000000	12.015878858716286	0.21868349296158088
1540000000	11.953379434882175	0.23264055054534327
1630000000	11.892376148187989	0.24701004271064037
1720000000	11.832661916507487	0.2617759034181131
1810000000	11.774071736178923	0.27692240520337863
1900000000	11.716472852861365	0.2924341961945009
1990000000	11.65975754290774	0.3082963225489309
2080000000	11.603837730054666	0.3244942408012693
2170000000	11.548640915127923	0.341013823178717
2260000000	11.49410706001572	0.3578413579938886
2350000000	11.440186175166957	0.37496354658869985
2440000000	11.386836432557994	0.3923674978696229
2530000000	11.334022675841384	0.4100407211752523
2620000000	11.281715234011177	0.42797111800789517
2710000000	11.229888969354938	0.44614697301306594
2800000000	11.17852250794202	0.4645569444853233
2890000000	11.127597613556576	0.48319005460303144
2980000000	11.077098675257785	0.5020356795396322
3070000000	11.02701228561689	0.5210835395588899
3160000000	10.977326891816485	0.5403236891721126
3250000000	10.928032505674492	0.5597465074136343
3340000000	10.87912046160755	0.5793426882747398
3430000000	10.830583213815279	0.5991032313242659
3520000000	10.782414165720612	0.6190194325352039
3610000000	10.734607526068173	0.6390828753299848
3700000000	10.687158187155026	0.6592854218521758
3790000000	10.640061621515374	0.6796192044686307
3880000000	10.593313794053547	0.7000766175033838
3970000000	10.546911087157815	0.7206503092025558
4060000000	10.500850236759751	0.741333173928048
4150000000	10.455128277653078	0.7621183445767185
4240000000	10.409742496669637	0.7829991852209548
4330000000	10.364690392541288	0.8039692839660241
4420000000	10.319969641466091	0.8250224460192085
4510000000	10.275578067553166	0.846152686965506
4600000000	10.231513617449435	0.8673542262445448
4690000000	10.187774338558365	0.8886214808232973
4780000000	10.14435836034988	0.9099490590591853
4870000000	10.101263878334978	0.9313317547482065
4960000000	10.058489140340878	0.9527645413527741
5050000000	10.016032434775163	0.9742425664040726
5140000000	9.973892080611426	0.995761146073818
5230000000	9.932066418866551	1.0173157599104403
5320000000	9.890553805371521	1.0389020457348328
5410000000	9.849352604664631	1.0605157946909272
5500000000	9.808461184859182	1.0821529464465016
5590000000	9.767877913357403	1.1038095845397333
5680000000	9.72760115329931	1.1254819318671636
5770000000	9.687629260649764	1.1471663463088433
5860000000	9.647960581839541	1.1688593164865735
5950000000	9.608593451886959	1.1905574576512532
6040000000	9.569526192936108	1.2122575076954925
6130000000	9.530757113155692	1.2339563232877304
6220000000	9.492284505949591	1.2556508761242453
6310000000	9.454106649436373	1.277338249295514
6400000000	9.416221806160285	1.2990156337635186
6490000000	9.37862822300089	1.32068032494667
6580000000	9.341324131252588	1.342329719409137
6670000000	9.304307746848869	1.3639613116514548
6760000000	9.267577270709051	1.3855726909993749
6850000000	9.23113088918827	1.4071615385880243
6940000000	9.194966774613606	1.4287256244385103
7030000000	9.159083085891517	1.4502628046241988
7120000000	9.123477969173505	1.4717710185239763
7210000000	9.088149558568583	1.4932482861598888
7300000000	9.053095976892562	1.5146927056166093
7390000000	9.018315336445436	1.5361024505402867
7480000000	8.983805739809236	1.557475767714376
7570000000	8.949565280659705	1.5788109747101338
7660000000	8.915592044586084	1.6001064576095352
7750000000	8.881884109913914	1.6213606687984032
7840000000	8.848439548526663	1.642572124827663
7930000000	8.815256426682309	1.6637394043406275
8020000000	8.782332805821826	1.6848611460643395
8110000000	8.749666743366717	1.7059360468630158
8200000000	8.717256293503382	1.7269628598517166
8290000000	8.685099507952316	1.7479403925684058
8380000000	8.653194436720513	1.7688675052026384
8470000000	8.621539128835764	1.7897431088791356
8560000000	8.590131633061702	1.8105661639945991
8650000000	8.558969998592795	1.8313356786061188
8740000000	8.528052275728523	1.85205070686962
8830000000	8.497376516526293	1.8727103475268054
8920000000	8.466940775432734	1.8933137424391333
9010000000	8.436743109893078	1.91386007516736
9100000000	8.406781580938606	1.9343485695952927
9190000000	8.37705425375207	1.9547784885963606
9280000000	8.347559198211194	1.9751491327417208
9370000000	8.318294489410441	1.9954598390486087
9460000000	8.289258208161154	2.015709979767702
9550000000	8.260448441470466	2.035898961208302
9640000000	8.231863282999198	2.0560262226001726
9730000000	8.203500833499149	2.076091234990894
9820000000	8.175359201230165	2.0960935001776657
9910000000	8.14743650235736	2.11603254967247
10000000000	8.11973086132901	2.135907943699582
