Tissue: Bone Marrow (Red)
Frequency Hz	Permittivity	Elec. Cond. (S/m)
1000000000	11.196153353816763	0.23938864412495475
1090000000	11.130212452745797	0.24999598292929207
1180000000	11.067173974962966	0.2610870190778567
1270000000	11.006414111068251	0.2726425379021
1360000000	10.94748252098417	0.28464342070276394
1450000000	10.890047179137591	0.2970708488494219
1540000000	10.833858917875526	0.30990642490557824
1630000000	10.778727925689637	0.3231322429179999
1720000000	10.724507750903463	0.3367309269276222
1810000000	10.67108415863126	0.35068564932057567
1900000000	10.618367208516977	0.36498013626998593
1990000000	10.566285519571885	0.37959866488271965
2080000000	10.514782050926677	0.394526055035466
2170000000	10.46381095277645	0.40974765785600753
2260000000	10.413335185472224	0.42524934214469934
2350000000	10.363324698294534	0.4410174795999502
2440000000	10.313755021619283	0.45703892942632707
2530000000	10.26460616824679	0.4733010227131802
2620000000	10.215861768592612	0.48979154684290094
2710000000	10.167508384638017	0.5064987301003314
2800000000	10.119534961840616	0.5234112265948977
2890000000	10.07193238846476	0.5405181015658835
2980000000	10.024693139238575	0.5578088171129452
3070000000	9.977810985710875	0.5752732183745205
3160000000	9.93128075973562	0.5929015201634688
3250000000	9.885098159547674	0.6106842940602439
3340000000	9.839259590188046	0.6286124559578562
3430000000	9.793762031785494	0.6466772540489177
3520000000	9.748602930544543	0.664870257242563
3610000000	9.703780108329918	0.6831833439975686
3700000000	9.65929168754769	0.7016086915572051
3790000000	9.615136028659498	0.7201387655710841
3880000000	9.571311678168472	0.7387663100892926
3970000000	9.5278173253143  	0.7574843379143771
4060000000	9.484651766033735	0.7762861212971391
4150000000	9.441813872998694	0.7951651829626892
4240000000	9.399302570750802	0.8141152874537508
4330000000	9.357116815118854	0.8331304327787514
4420000000	9.3152555762421     0.8522048423528055
4510000000	9.27371782463422	0.8713329572202384
4600000000	9.23250251981454	0.8905094285478355
4690000000	9.191608601108905	0.9097291103785097
4780000000	9.151034980285258	0.9289870526355613
4870000000	9.11078053574127	0.9482784943681739
4960000000	9.070844108004705	0.9675988572292105
5050000000	9.031224496343558	0.9869437391767895
5140000000	8.991920456313647	1.006308908391501
5230000000	8.952930698096823	1.0256902974014852
5320000000	8.91425388550481	1.0450839974079291
5410000000	8.875888635541804	1.0644862528038563
5500000000	8.837833518434648	1.0838934558793885
5590000000	8.800087058052538	1.1033021417069282
5680000000	8.76264773264943	1.122708983199988
5770000000	8.725513975871952	1.1421107863396305
5860000000	8.688684177983841	1.16150448556273
5950000000	8.652156687264856	1.1808871393064777
6040000000	8.615929811548275	1.2002559257037795
6130000000	8.58000181986614	1.2196081384243744
6220000000	8.544370944176002	1.238941182656726
6310000000	8.50903538114655	1.2582525712258725
6400000000	8.473993293983089	1.2775399208426468
6490000000	8.43924281427641	1.2968009484797993
6580000000	8.404782043861296	1.31603346787075
6670000000	8.370609056672865	1.3352353861268056
6760000000	8.336721900590907	1.3544047004688768
6850000000	8.30311859926391	1.3735394950698048
6940000000	8.26979715390586	1.3926379380036011
7030000000	8.236755545060156	1.4116982782979905
7120000000	8.20399173432585	1.430718843086777
7210000000	8.171503666042588	1.4496980348586959
7300000000	8.139289268931032	1.4686343287994883
7390000000	8.107346457686665	1.4875262702240821
7480000000	8.075673134524958	1.5063724720958414
7570000000	8.044267190676825	1.5251716126299606
7660000000	8.013126507833388	1.5439224329781784
7750000000	7.982248959539641	1.562623734992076
7840000000	7.951632412536831	1.5812743790623234
7930000000	7.921274728053583	1.5998732820312984
8020000000	7.8911737630462255	1.6184194151766536
8110000000	7.861327371388695	1.6369118022633904
8200000000	7.831733405012779	1.6553495176621837
8290000000	7.80238971499948	1.67373168453169
8380000000	7.7732941526224195	1.6920574730627116
8470000000	7.744444570344282	1.7103260987821138
8560000000	7.715838822767414	1.7285368209144902
8650000000	7.687474767539696	1.746688940799633
8740000000	7.659350266216853	1.764781800363913
8830000000	7.631463185082476	1.782814780643773
8920000000	7.603811395926943	1.8007873003595465
9010000000	7.576392776786524	1.8186988145379366
9100000000	7.549205212643923	1.8365488131814807
9190000000	7.522246596091504	1.854336819983439
9280000000	7.495514827958489	1.8720623910865575
9370000000	7.46900781790335	1.8897251138842268
9460000000	7.4427234849726185	1.9073246058626083
9550000000	7.41665975812737	1.9248605134823364
9640000000	7.390814576738524	1.9423325110984604
9730000000	7.365185891052179	1.9597402999173388
9820000000	7.339771662626093	1.9770836069892246
9910000000	7.314569864738468	1.9943621842353472
10000000000	7.2895784827701045	2.01157580750831

