Tissue: Fat
Frequency Hz	Permittivity	Elec. Cond. (S/m)
1000000000	11.294253622592379	0.11638196664181798
1090000000	11.260339543278645	0.12327797933558202
1180000000	11.227700224505789	0.13055002637997065
1270000000	11.196052204370812	0.1381881217183316
1360000000	11.165189125865961	0.14618244341976117
1450000000	11.134957447537651	0.15452339241691998
1540000000	11.105240798578354	0.16320162171260202
1630000000	11.07594958591974	0.17220804841096918
1720000000	11.04701390267564	0.18153385570978517
1810000000	11.01837857425466	0.1911704890700217
1900000000	10.989999625232624	0.20110964909642212
1990000000	10.961841712599929	0.21134328266846086
2080000000	10.933876230030851	0.22186357326167183
2170000000	10.906079886809929	0.2326629310318205
2260000000	10.8784336281817	0.24373398300621063
2350000000	10.850921805046909	0.25506956358346244
2440000000	10.823531528297943	0.2666627054531082
2530000000	10.79625216162067	0.2785066309897023
2620000000	10.769074919350588	0.2905947441406983
2710000000	10.741992544891799	0.3029206228054976
2800000000	10.714999051531334	0.31547801168997014
2890000000	10.688089512023263	0.3282608156132949
2980000000	10.661259886618359	0.3412630932401396
3070000000	10.634506881641725	0.3544790512096899
3160000000	10.607827832523228	0.36790303863298257
3250000000	10.581220606537261	0.3815295419308318
3340000000	10.554683521531736	0.3953531799859923
3430000000	10.52821527770703	0.40936869958483313
3520000000	10.501814900106861	0.4235709711255421
3610000000	10.47548168994902	0.4379549845716506
3700000000	10.44921518328796	0.45251584563139546
3790000000	10.423015115787319	0.46724877214506877
3880000000	10.396881392607032	0.4821490906640613
3970000000	10.370814062589785	0.49721223320672325
4060000000	10.344813296076122	0.5124337341774968
4150000000	10.318879365793554	0.5278092274369743
4240000000	10.293012630359097	0.5433344435116402
4330000000	10.26721352001122	0.5590052069330615
4420000000	10.241482524249587	0.5748174336971956
4510000000	10.215820181112289	0.5907671288353068
4600000000	10.190227067862587	0.6068503840887447
4690000000	10.16470379289212	0.6230633756804926
4780000000	10.139250988676688	0.6394023621770233
4870000000	10.113869305644869	0.6558636824345435
4960000000	10.088559406840153	0.672443753624213
5050000000	10.063321963274305	0.6891390693313798
5140000000	10.038157649883882	0.7059461977242769
5230000000	10.013067142014338	0.7228617797880096
5320000000	9.988051112366021	0.7398825276199879
5410000000	9.963110228345547	0.7570052227832754
5500000000	9.93824514977317	0.7742267147145989
5590000000	9.913456526903463	0.7915439191840183
5680000000	9.888744998721839	0.8089538168034847
5770000000	9.864111191484392	0.8264534515817255
5860000000	9.839555717472454	0.8440399295230898
5950000000	9.815079173936828	0.861710417268153
6040000000	9.790682142209686	0.8794621407740457
6130000000	9.766365186964808	0.8972923840326177
6220000000	9.742128855609053	0.9151984878246741
6310000000	9.71797367778999	0.9331778485086506
6400000000	9.693900165006422	0.9512279168421958
6490000000	9.66990881030994	0.9693461968352459
6580000000	9.646000088087074	0.9875302446332519
6670000000	9.622174453912804	1.0057776674293233
6760000000	9.598432344467103	1.0240861224041171
6850000000	9.57477417750723	1.0424533156923868
6940000000	9.551200351889232	1.0608770013751572
7030000000	9.527711247632809	1.079354980496574
7120000000	9.504307226024357	1.0978851001045078
7210000000	9.480988629753552	1.1164652523140706
7300000000	9.457755783079332	1.135093373393237
7390000000	9.43460899202153	1.1537674428698013
7480000000	9.41154854457492	1.1724854826589688
7570000000	9.388574710942608	1.1912455562108855
7660000000	9.365687743786179	1.210045767677474
7750000000	9.342887878490224	1.2288842610979565
7840000000	9.320175333439023	1.2477592196024907
7930000000	9.297550310303597	1.2666688646333695
8020000000	9.275012994337297	1.285611455183253
8110000000	9.252563554678488	1.3045852870499377
8200000000	9.230202144658877	1.3235886921071889
8290000000	9.2079289021163	1.3426200375911819
8380000000	9.185743949710838	1.3616777254021102
8470000000	9.163647395243299	1.3807601914205576
8560000000	9.141639331975119	1.399865904838229
8650000000	9.119719838948999	1.4189933675026603
8740000000	9.09788898130946	1.4381411132755468
8830000000	9.076146810622747	1.4573077074043332
8920000000	9.054493365195526	1.4764917459067317
9010000000	9.03292867039185	1.4956918549678497
9100000000	9.011452738947971	1.514906690349605
9190000000	8.990065571284573	1.534134936812138
9280000000	8.968767155816147	1.5533753075469259
9370000000	8.947557469257143	1.5726265436213245
9460000000	8.92643647692465	1.5918874134342649
9550000000	8.905404133037395	1.6111567121828452
9640000000	8.884460381010832	1.6304332613395698
9730000000	8.863605153748164	1.6497159081399861
9820000000	8.842838373927137	1.6690035250804944
9910000000	8.822159954282498	1.6882950094260867
10000000000	8.801569797883998	1.7075892827278096
